sol,earth_date,ls,season,min_temp,max_temp,pressure,atmo_opacity,sunrise,sunset
139,2012-12-26,232,"Month 8",-66,0,899,Sunny,05:29,17:43
140,2012-12-27,233,"Month 8",-66,-2,903,Sunny,05:29,17:43
141,2012-12-28,233,"Month 8",-64,-2,904,Sunny,05:30,17:44
142,2012-12-29,234,"Month 8",-65,0,906,Sunny,05:30,17:44
143,2012-12-31,235,"Month 8",-63,-2,908,Sunny,05:31,17:45
144,2013-01-01,235,"Month 8",-64,2,907,Sunny,05:31,17:46
145,2013-01-02,236,"Month 8",-64,-1,909,Sunny,05:32,17:46
146,2013-01-03,237,"Month 8",-65,-1,908,Sunny,05:32,17:47
147,2013-01-04,237,"Month 8",-65,0,914,Sunny,05:33,17:47
148,2013-01-05,238,"Month 8",-65,-3,912,Sunny,05:33,17:48
149,2013-01-06,239,"Month 8",-65,0,914,Sunny,05:34,17:49
150,2013-01-07,239,"Month 8",-64,-3,913,Sunny,05:34,17:49
151,2013-01-08,240,"Month 9",-65,-3,915,Sunny,05:35,17:50
152,2013-01-09,241,"Month 9",-63,1,914,Sunny,05:35,17:51
153,2013-01-10,241,"Month 9",-65,1,915,Sunny,05:36,17:51
154,2013-01-11,242,"Month 9",-65,-2,917,Sunny,05:36,17:52
155,2013-01-12,243,"Month 9",-64,0,917,Sunny,05:37,17:52
156,2013-01-13,243,"Month 9",-65,0,922,Sunny,05:37,17:53
157,2013-01-14,244,"Month 9",-64,-2,920,Sunny,05:38,17:54
158,2013-01-15,245,"Month 9",-66,-3,922,Sunny,05:39,17:54
159,2013-01-16,245,"Month 9",-65,-4,918,Sunny,05:39,17:55
160,2013-01-17,246,"Month 9",-67,-3,919,Sunny,05:40,17:56
161,2013-01-18,246,"Month 9",-65,-2,919,Sunny,05:40,17:56
162,2013-01-19,247,"Month 9",-65,-1,919,Sunny,05:41,17:57
163,2013-01-20,248,"Month 9",-65,-1,919,Sunny,05:41,17:58
164,2013-01-21,248,"Month 9",-64,-1,919,Sunny,05:42,17:59
165,2013-01-22,249,"Month 9",-65,-3,922,Sunny,05:43,17:59
166,2013-01-23,250,"Month 9",-65,-5,922,Sunny,05:43,18:00
167,2013-01-24,250,"Month 9",-65,-3,920,Sunny,05:44,18:01
168,2013-01-25,251,"Month 9",-66,1,923,Sunny,05:45,18:01
169,2013-01-26,252,"Month 9",-66,0,922,Sunny,05:45,18:02
170,2013-01-27,252,"Month 9",-66,0,925,Sunny,05:46,18:03
171,2013-01-28,253,"Month 9",-67,1,925,Sunny,05:46,18:03
172,2013-01-29,254,"Month 9",-67,0,923,Sunny,05:47,18:04
173,2013-01-30,254,"Month 9",-67,0,920,Sunny,05:48,18:05
174,2013-01-31,255,"Month 9",-67,0,921,Sunny,05:48,18:06
175,2013-02-01,256,"Month 9",-68,-4,921,Sunny,05:49,18:06
176,2013-02-02,256,"Month 9",-67,0,920,Sunny,05:50,18:07
177,2013-02-03,257,"Month 9",-66,-1,921,Sunny,05:50,18:08
178,2013-02-04,258,"Month 9",-66,-2,920,Sunny,05:51,18:09
179,2013-02-06,258,"Month 9",-66,-7,920,Sunny,05:52,18:09
180,2013-02-07,259,"Month 9",-67,-1,919,Sunny,05:52,18:10
181,2013-02-08,260,"Month 9",-67,1,918,Sunny,05:53,18:11
182,2013-02-09,260,"Month 9",-67,0,921,Sunny,05:54,18:11
183,2013-02-10,261,"Month 9",-67,-1,921,Sunny,05:55,18:12
184,2013-02-11,261,"Month 9",-67,0,923,Sunny,05:55,18:13
185,2013-02-12,262,"Month 9",-67,-5,923,Sunny,05:56,18:14
186,2013-02-13,263,"Month 9",-66,-2,922,Sunny,05:57,18:14
187,2013-02-14,263,"Month 9",-67,-1,921,Sunny,05:57,18:15
188,2013-02-15,264,"Month 9",-68,-3,920,Sunny,05:58,18:16
189,2013-02-16,265,"Month 9",-68,-2,920,Sunny,05:59,18:16
190,2013-02-17,265,"Month 9",-66,-3,917,Sunny,05:59,18:17
191,2013-02-18,266,"Month 9",-67,-3,921,Sunny,06:00,18:18
192,2013-02-19,267,"Month 9",,,--,Sunny,06:01,18:19
195,2013-02-22,269,"Month 9",,,--,Sunny,06:03,18:21
196,2013-02-23,269,"Month 9",-66,-3,916,Sunny,06:04,18:21
197,2013-02-24,270,"Month 10",-68,-3,915,Sunny,06:04,18:22
198,2013-02-25,271,"Month 10",-67,-2,914,Sunny,06:05,18:23
199,2013-02-26,271,"Month 10",-66,0,917,Sunny,06:06,18:24
200,2013-02-27,272,"Month 10",,,--,Sunny,06:06,18:24
215,2013-03-15,281,"Month 10",,,--,Sunny,06:17,18:34
222,2013-03-22,286,"Month 10",,,--,Sunny,06:21,18:38
223,2013-03-23,287,"Month 10",-71,-5,895,Sunny,06:22,18:39
224,2013-03-24,287,"Month 10",-69,-1,894,Sunny,06:22,18:39
225,2013-03-25,288,"Month 10",-71,-8,894,Sunny,06:23,18:40
226,2013-03-26,288,"Month 10",-70,1,894,Sunny,06:24,18:40
227,2013-03-27,289,"Month 10",-70,4,892,Sunny,06:24,18:41
228,2013-03-28,290,"Month 10",-71,-3,894,Sunny,06:25,18:41
229,2013-03-29,290,"Month 10",-69,-4,894,Sunny,06:25,18:42
230,2013-03-30,291,"Month 10",-69,0,888,Sunny,06:26,18:42
231,2013-03-31,292,"Month 10",-71,-6,890,Sunny,06:26,18:43
232,2013-04-01,292,"Month 10",-69,-5,888,Sunny,06:27,18:43
233,2013-04-02,293,"Month 10",-69,-3,889,Sunny,06:28,18:44
234,2013-04-03,293,"Month 10",-69,-4,890,Sunny,06:28,18:44
235,2013-04-04,294,"Month 10",-70,0,886,Sunny,06:29,18:44
236,2013-04-05,295,"Month 10",-72,-3,886,Sunny,06:29,18:45
237,2013-04-06,295,"Month 10",-71,-5,883,Sunny,06:30,18:45
238,2013-04-07,296,"Month 10",-70,-2,885,Sunny,06:30,18:46
239,2013-04-08,297,"Month 10",-73,-1,885,Sunny,06:31,18:46
240,2013-04-09,297,"Month 10",-70,-6,884,Sunny,06:31,18:47
241,2013-04-10,298,"Month 10",-72,0,884,Sunny,06:32,18:47
242,2013-04-11,298,"Month 10",-70,-7,881,Sunny,06:32,18:47
243,2013-04-12,299,"Month 10",-71,-7,884,Sunny,06:33,18:48
244,2013-04-13,300,"Month 11",-69,-6,878,Sunny,06:33,18:48
245,2013-04-14,300,"Month 11",-70,-6,879,Sunny,06:34,18:48
246,2013-04-15,301,"Month 11",-73,-1,878,Sunny,06:34,18:49
247,2013-04-16,301,"Month 11",-71,-4,873,Sunny,06:35,18:49
248,2013-04-17,302,"Month 11",-70,-4,877,Sunny,06:35,18:49
249,2013-04-18,303,"Month 11",-69,-3,873,Sunny,06:35,18:50
250,2013-04-19,303,"Month 11",-70,-2,877,Sunny,06:36,18:50
251,2013-04-20,304,"Month 11",-71,-2,876,Sunny,06:36,18:50
252,2013-04-22,304,"Month 11",-71,-8,874,Sunny,06:37,18:51
253,2013-04-23,305,"Month 11",-71,-6,877,Sunny,06:37,18:51
254,2013-04-24,306,"Month 11",-70,-3,871,Sunny,06:37,18:51
255,2013-04-25,306,"Month 11",-69,-5,877,Sunny,06:38,18:51
256,2013-04-26,307,"Month 11",-70,-2,871,Sunny,06:38,18:52
257,2013-04-27,308,"Month 11",-70,-1,871,Sunny,06:39,18:52
258,2013-04-28,308,"Month 11",-71,-9,869,Sunny,06:39,18:52
259,2013-04-29,309,"Month 11",-72,-3,871,Sunny,06:39,18:52
260,2013-04-30,309,"Month 11",-70,-11,875,Sunny,06:40,18:53
261,2013-05-01,310,"Month 11",-70,-4,868,Sunny,06:40,18:53
262,2013-05-02,311,"Month 11",,,--,Sunny,06:40,18:53
267,2013-05-07,313,"Month 11",,,--,Sunny,06:42,18:54
268,2013-05-08,314,"Month 11",-70,-5,864,Sunny,06:42,18:54
269,2013-05-09,315,"Month 11",-72,-3,866,Sunny,06:42,18:54
270,2013-05-10,315,"Month 11",-67,-6,863,Sunny,06:43,18:54
271,2013-05-11,316,"Month 11",-69,-6,864,Sunny,06:43,18:54
272,2013-05-12,316,"Month 11",-71,-5,864,Sunny,06:43,18:54
273,2013-05-13,317,"Month 11",-70,-4,861,Sunny,06:43,18:55
274,2013-05-14,318,"Month 11",-70,-2,861,Sunny,06:44,18:55
275,2013-05-15,318,"Month 11",-67,-6,860,Sunny,06:44,18:55
276,2013-05-16,319,"Month 11",-69,-4,858,Sunny,06:44,18:55
277,2013-05-17,319,"Month 11",-69,-4,857,Sunny,06:44,18:55
278,2013-05-18,320,"Month 11",-67,-3,855,Sunny,06:44,18:55
279,2013-05-19,321,"Month 11",-68,-5,856,Sunny,06:45,18:55
280,2013-05-20,321,"Month 11",-69,-4,856,Sunny,06:45,18:55
281,2013-05-21,322,"Month 11",-68,-2,855,Sunny,06:45,18:55
282,2013-05-22,322,"Month 11",-72,-2,856,Sunny,06:45,18:55
283,2013-05-23,323,"Month 11",-68,-4,854,Sunny,06:45,18:55
284,2013-05-24,323,"Month 11",-71,-3,854,Sunny,06:45,18:55
285,2013-05-25,324,"Month 11",-70,-5,852,Sunny,06:45,18:55
286,2013-05-26,325,"Month 11",-71,-2,854,Sunny,06:46,18:55
287,2013-05-27,325,"Month 11",-72,-3,856,Sunny,06:46,18:55
288,2013-05-29,326,"Month 11",-69,-4,854,Sunny,06:46,18:55
289,2013-05-30,326,"Month 11",-71,-3,854,Sunny,06:46,18:55
290,2013-05-31,327,"Month 11",-71,-3,853,Sunny,06:46,18:55
291,2013-06-01,327,"Month 11",-70,-4,853,Sunny,06:46,18:55
292,2013-06-02,328,"Month 11",-71,-1,853,Sunny,06:46,18:55
293,2013-06-03,329,"Month 11",-72,-4,850,Sunny,06:46,18:55
294,2013-06-04,329,"Month 11",-72,-4,852,Sunny,06:46,18:54
295,2013-06-05,330,"Month 12",-71,-15,853,Sunny,06:46,18:54
296,2013-06-06,330,"Month 12",-71,-9,850,Sunny,06:46,18:54
297,2013-06-07,331,"Month 12",-72,-7,849,Sunny,06:47,18:54
298,2013-06-08,331,"Month 12",-72,-3,850,Sunny,06:47,18:54
299,2013-06-09,332,"Month 12",-71,-8,849,Sunny,06:47,18:54
300,2013-06-10,333,"Month 12",-72,-8,852,Sunny,06:47,18:54
301,2013-06-11,333,"Month 12",-73,-6,852,Sunny,06:47,18:54
302,2013-06-12,334,"Month 12",-71,-3,850,Sunny,06:47,18:54
303,2013-06-13,334,"Month 12",-71,-8,849,Sunny,06:47,18:53
304,2013-06-14,335,"Month 12",-70,-6,848,Sunny,06:47,18:53
305,2013-06-15,335,"Month 12",-71,-5,847,Sunny,06:47,18:53
306,2013-06-16,336,"Month 12",-71,-8,848,Sunny,06:47,18:53
307,2013-06-17,336,"Month 12",-72,-8,851,Sunny,06:47,18:53
308,2013-06-18,337,"Month 12",-73,-5,850,Sunny,06:47,18:53
309,2013-06-19,338,"Month 12",-72,-7,848,Sunny,06:47,18:52
310,2013-06-20,338,"Month 12",-71,-9,849,Sunny,06:47,18:52
311,2013-06-21,339,"Month 12",-74,-8,846,Sunny,06:46,18:52
312,2013-06-22,339,"Month 12",-71,-11,845,Sunny,06:46,18:52
313,2013-06-23,340,"Month 12",-77,-14,849,Sunny,06:46,18:52
314,2013-06-24,340,"Month 12",-73,-11,848,Sunny,06:46,18:51
315,2013-06-25,341,"Month 12",-74,-10,850,Sunny,06:46,18:51
316,2013-06-26,341,"Month 12",-74,-16,851,Sunny,06:46,18:51
317,2013-06-27,342,"Month 12",-72,-4,849,Sunny,06:46,18:51
318,2013-06-28,342,"Month 12",-74,-4,849,Sunny,06:46,18:51
319,2013-06-29,343,"Month 12",-73,-3,847,Sunny,06:46,18:50
320,2013-06-30,344,"Month 12",-74,-4,846,Sunny,06:46,18:50
321,2013-07-01,344,"Month 12",-75,-5,847,Sunny,06:46,18:50
322,2013-07-02,345,"Month 12",-74,-5,849,Sunny,06:46,18:50
323,2013-07-03,345,"Month 12",-74,-6,847,Sunny,06:45,18:49
324,2013-07-04,346,"Month 12",-75,-8,850,Sunny,06:45,18:49
325,2013-07-06,346,"Month 12",-74,-8,847,Sunny,06:45,18:49
326,2013-07-07,347,"Month 12",-72,-5,848,Sunny,06:45,18:48
327,2013-07-08,347,"Month 12",-74,-8,848,Sunny,06:45,18:48
328,2013-07-09,348,"Month 12",-75,-5,847,Sunny,06:45,18:48
329,2013-07-10,348,"Month 12",-74,-7,847,Sunny,06:45,18:48
330,2013-07-11,349,"Month 12",-75,-5,848,Sunny,06:45,18:47
331,2013-07-12,349,"Month 12",-74,-3,848,Sunny,06:44,18:47
332,2013-07-13,350,"Month 12",-76,-5,849,Sunny,06:44,18:47
333,2013-07-14,350,"Month 12",-75,-5,849,Sunny,06:44,18:46
334,2013-07-15,351,"Month 12",-74,-6,852,Sunny,06:44,18:46
335,2013-07-16,352,"Month 12",-76,-7,852,Sunny,06:44,18:46
336,2013-07-17,352,"Month 12",-76,-8,852,Sunny,06:44,18:45
337,2013-07-18,353,"Month 12",-75,-7,853,Sunny,06:43,18:45
338,2013-07-19,353,"Month 12",-78,-7,848,Sunny,06:43,18:45
339,2013-07-20,354,"Month 12",-76,-8,849,Sunny,06:43,18:44
340,2013-07-21,354,"Month 12",-76,-6,851,Sunny,06:43,18:44
341,2013-07-22,355,"Month 12",-77,-6,852,Sunny,06:43,18:44
342,2013-07-23,355,"Month 12",-76,-7,851,Sunny,06:42,18:43
343,2013-07-24,356,"Month 12",-77,-11,850,Sunny,06:42,18:43
344,2013-07-25,356,"Month 12",-77,-6,851,Sunny,06:42,18:43
345,2013-07-26,357,"Month 12",-77,-7,853,Sunny,06:42,18:42
346,2013-07-27,357,"Month 12",-76,-7,853,Sunny,06:42,18:42
347,2013-07-28,358,"Month 12",-77,-9,851,Sunny,06:41,18:42
348,2013-07-29,358,"Month 12",-74,-8,850,Sunny,06:41,18:41
349,2013-07-30,359,"Month 12",-75,-12,852,Sunny,06:41,18:41
350,2013-07-31,359,"Month 12",-76,-6,853,Sunny,06:41,18:41
351,2013-08-01,0,"Month 1",-75,-12,853,Sunny,06:41,18:40
352,2013-08-02,0,"Month 1",-77,-9,854,Sunny,06:40,18:40
353,2013-08-03,1,"Month 1",-75,-8,855,Sunny,06:40,18:39
354,2013-08-04,1,"Month 1",-75,-13,857,Sunny,06:40,18:39
355,2013-08-05,2,"Month 1",-75,-7,857,Sunny,06:40,18:39
356,2013-08-06,2,"Month 1",-77,-7,856,Sunny,06:39,18:38
357,2013-08-07,3,"Month 1",-76,-7,857,Sunny,06:39,18:38
358,2013-08-08,3,"Month 1",,,--,Sunny,06:39,18:38
365,2013-08-16,7,"Month 1",,,--,Sunny,06:37,18:35
366,2013-08-17,7,"Month 1",-76,-12,861,Sunny,06:37,18:34
367,2013-08-18,8,"Month 1",-76,-9,862,Sunny,06:37,18:34
368,2013-08-19,8,"Month 1",-77,-9,863,Sunny,06:36,18:34
369,2013-08-20,9,"Month 1",-75,-9,865,Sunny,06:36,18:33
370,2013-08-21,9,"Month 1",-79,-9,865,Sunny,06:36,18:33
371,2013-08-22,10,"Month 1",-77,-11,865,Sunny,06:35,18:32
372,2013-08-23,10,"Month 1",-76,-9,866,Sunny,06:35,18:32
373,2013-08-24,11,"Month 1",-79,-8,866,Sunny,06:35,18:32
374,2013-08-25,11,"Month 1",-79,-9,866,Sunny,06:35,18:31
375,2013-08-26,12,"Month 1",-77,-9,867,Sunny,06:34,18:31
376,2013-08-27,12,"Month 1",-78,-11,870,Sunny,06:34,18:30
377,2013-08-28,13,"Month 1",-78,-12,870,Sunny,06:34,18:30
378,2013-08-29,13,"Month 1",-78,-18,869,Sunny,06:33,18:29
379,2013-08-30,14,"Month 1",-79,-12,870,Sunny,06:33,18:29
380,2013-08-31,14,"Month 1",-79,-13,870,Sunny,06:33,18:29
381,2013-09-01,15,"Month 1",-79,-13,871,Sunny,06:33,18:28
382,2013-09-02,15,"Month 1",-76,-14,872,Sunny,06:32,18:28
383,2013-09-03,16,"Month 1",-77,-12,874,Sunny,06:32,18:27
384,2013-09-04,16,"Month 1",-77,-12,875,Sunny,06:32,18:27
385,2013-09-05,17,"Month 1",-78,-12,874,Sunny,06:31,18:26
386,2013-09-06,17,"Month 1",-77,-12,873,Sunny,06:31,18:26
387,2013-09-07,18,"Month 1",-78,-13,874,Sunny,06:31,18:26
388,2013-09-08,18,"Month 1",-79,-13,875,Sunny,06:31,18:25
389,2013-09-09,19,"Month 1",-79,-14,875,Sunny,06:30,18:25
390,2013-09-10,19,"Month 1",-78,-16,875,Sunny,06:30,18:24
391,2013-09-11,20,"Month 1",-78,-17,875,Sunny,06:30,18:24
392,2013-09-12,20,"Month 1",-77,-17,876,Sunny,06:29,18:23
393,2013-09-13,21,"Month 1",-76,-18,877,Sunny,06:29,18:23
394,2013-09-14,21,"Month 1",-79,-18,878,Sunny,06:29,18:23
395,2013-09-15,22,"Month 1",-77,-20,878,Sunny,06:28,18:22
396,2013-09-16,22,"Month 1",-78,-15,879,Sunny,06:28,18:22
397,2013-09-18,23,"Month 1",-75,-15,880,Sunny,06:28,18:21
398,2013-09-19,23,"Month 1",-79,-14,880,Sunny,06:28,18:21
399,2013-09-20,24,"Month 1",-79,-16,881,Sunny,06:27,18:20
400,2013-09-21,24,"Month 1",-79,-16,881,Sunny,06:27,18:20
401,2013-09-22,25,"Month 1",-79,-15,882,Sunny,06:27,18:20
402,2013-09-23,25,"Month 1",-78,-18,883,Sunny,06:26,18:19
403,2013-09-24,25,"Month 1",-80,-18,883,Sunny,06:26,18:19
404,2013-09-25,26,"Month 1",-78,-20,884,Sunny,06:26,18:18
405,2013-09-26,26,"Month 1",-82,-25,885,Sunny,06:25,18:18
406,2013-09-27,27,"Month 1",-81,-15,886,Sunny,06:25,18:17
407,2013-09-28,27,"Month 1",-81,-17,887,Sunny,06:25,18:17
